signal_id,opportunity_key,first_seen_utc,last_seen_pass_utc,ticker,side,spread,short_strike,long_strike,expiration,entry_dte,entry_price,entry_credit,commission_rt,net_max_loss,entry_win_probability,entry_prob_otm,entry_delta,entry_net_roc,entry_expected_move,entry_em_distance,entry_iv_rank,entry_short_iv,entry_oi,entry_bid_ask_pct,entry_liquidity,entry_rsi,entry_technical_score,entry_options_quality_score,hold_status,hold_exit_utc,hold_exit_reason,hold_pnl_net,hold_result,hold_return_pct,hold_days_held,tp50_status,tp50_exit_utc,tp50_exit_reason,tp50_exit_debit,tp50_pnl_net,tp50_result,tp50_return_pct,tp50_days_held,tp50_stop2x_status,tp50_stop2x_exit_utc,tp50_stop2x_exit_reason,tp50_stop2x_exit_debit,tp50_stop2x_pnl_net,tp50_stop2x_result,tp50_stop2x_return_pct,tp50_stop2x_days_held,latest_mark_utc,latest_underlying_price,latest_close_debit,latest_unrealized_pnl_net,latest_dte
MSFT-20260813T0012-545C550C,MSFT|2026-09-18|CALL|545|550,2026-08-13T00:12:33.247422+00:00,2026-08-14T16:06:27.403332+00:00,MSFT,CALL,545/550 CCS,545.0,550.0,2026-09-18,36,492.43,0.31,2.6,471.6,90.0,88.7,0.129,6.0,40.79,1.29,100,26.4,5256.0,5.6,Alta,70.8,66,80,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-13T16:10:09.171557+00:00,STOP2X_OBSERVED,0.64,-35.6,LOSS,-7.55,0.66,2026-08-14T19:13:12.387647+00:00,495.17498779296875,0.54,-25.6,35
CSCO-20260813T0012-145C150C,CSCO|2026-09-18|CALL|145|150,2026-08-13T00:12:33.247422+00:00,2026-08-13T00:22:31.530066+00:00,CSCO,CALL,145/150 CCS,145.0,150.0,2026-09-18,36,123.88,0.41,2.6,461.6,88.6,85.1,0.189,8.3,19.7,1.07,29.1,50.6,1907.0,19.9,Media,63.1,67,82,OPEN,,,,,,,CLOSED,2026-08-13T16:10:09.171557+00:00,TP50_OBSERVED,0.11,27.4,WIN,5.94,0.66,CLOSED,2026-08-13T16:10:09.171557+00:00,TP50_OBSERVED,0.11,27.4,WIN,5.94,0.66,2026-08-14T19:13:12.387647+00:00,111.80000305175781,0.1,28.4,35
JPM-20260813T0012-385C390C,JPM|2026-09-18|CALL|385|390,2026-08-13T00:12:33.247422+00:00,2026-08-13T19:18:49.144595+00:00,JPM,CALL,385/390 CCS,385.0,390.0,2026-09-18,36,365.18,0.32,2.6,470.6,80.5,78.5,0.234,6.2,23.37,0.85,40.1,20.4,611.0,14.7,Alta,68.9,65,83,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-13T00:12:33.247422+00:00,STOP2X_OBSERVED,1.3,-100.6,,,,2026-08-14T19:13:12.387647+00:00,363.1000061035156,0.84,-54.6,35
SCHW-20260813T0012-115C120C,SCHW|2026-09-18|CALL|115|120,2026-08-13T00:12:33.247422+00:00,2026-08-13T19:18:49.144595+00:00,SCHW,CALL,115/120 CCS,115.0,120.0,2026-09-18,36,109.34,0.55,2.6,447.6,78.0,76.0,0.261,11.7,7.48,0.76,22.8,21.8,6740.0,8.9,Alta,72.3,70,88,OPEN,,,,,,,OPEN,,,,,,,,OPEN,,,,,,,,2026-08-14T19:13:12.387647+00:00,110.80000305175781,1.02,-49.6,35
BAC-20260813T0012-67.5C70C,BAC|2026-09-18|CALL|67.5|70,2026-08-13T00:12:33.247422+00:00,2026-08-14T19:13:12.387647+00:00,BAC,CALL,67.5/70 CCS,67.5,70.0,2026-09-18,36,64.81,0.33,2.6,219.6,75.5,74.5,0.273,13.8,3.72,0.72,12.0,18.3,5704.0,7.5,Alta,73.7,70,88,OPEN,,,,,,,OPEN,,,,,,,,OPEN,,,,,,,,2026-08-14T19:13:12.387647+00:00,64.49500274658203,0.33,-2.6,35
XOM-20260813T0012-170C175C,XOM|2026-09-18|CALL|170|175,2026-08-13T00:12:33.247422+00:00,2026-08-13T19:18:49.144595+00:00,XOM,CALL,170/175 CCS,170.0,175.0,2026-09-18,36,159.75,0.5,2.6,452.6,78.5,76.5,0.262,10.5,13.6,0.75,43.4,27.1,12851.0,8.0,Alta,65.0,65,88,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-13T00:12:33.247422+00:00,STOP2X_OBSERVED,1.13,-65.6,,,,2026-08-14T19:13:12.387647+00:00,160.10000610351562,0.93,-45.6,35
MRK-20260813T0012-145C150C,MRK|2026-09-18|CALL|145|150,2026-08-13T00:12:33.247422+00:00,2026-08-14T19:13:12.387647+00:00,MRK,CALL,145/150 CCS,145.0,150.0,2026-09-18,36,132.92,0.39,2.6,463.6,89.1,85.6,0.163,7.9,10.74,1.12,25.8,25.7,13439.0,7.4,Alta,63.8,65,75,OPEN,,,,,,,OPEN,,,,,,,,OPEN,,,,,,,,2026-08-14T19:13:12.387647+00:00,135.8800048828125,0.73,-36.6,35
NKE-20260813T0012-37.5P35P,NKE|2026-09-18|PUT|37.5|35,2026-08-13T00:12:33.247422+00:00,2026-08-13T16:10:09.171557+00:00,NKE,PUT,37.5/35 PCS,37.5,35.0,2026-09-18,36,40.51,0.38,2.6,214.6,76.2,75.2,-0.214,16.5,4.49,0.67,33.0,35.3,17357.0,6.5,Alta,40.1,50,98,OPEN,,,,,,,OPEN,,,,,,,,OPEN,,,,,,,,2026-08-14T19:13:12.387647+00:00,40.85499954223633,0.33,2.4,35
ABNB-20260813T0012-195C200C,ABNB|2026-09-18|CALL|195|200,2026-08-13T00:12:33.247422+00:00,2026-08-13T16:10:09.171557+00:00,ABNB,CALL,195/200 CCS,195.0,200.0,2026-09-18,36,180.1,0.45,2.6,457.6,80.9,78.4,0.247,9.3,18.41,0.81,100,32.5,284.0,24.5,Media,74.2,70,95,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-13T00:12:33.247422+00:00,STOP2X_OBSERVED,1.42,-99.6,,,,2026-08-14T19:13:12.387647+00:00,184.6999969482422,1.3,-87.6,35
NEM-20260813T0012-130C135C,NEM|2026-09-18|CALL|130|135,2026-08-13T00:12:33.247422+00:00,2026-08-13T16:10:09.171557+00:00,NEM,CALL,130/135 CCS,130.0,135.0,2026-09-18,36,117.84,0.48,2.6,454.6,76.1,75.6,0.293,10.0,17.85,0.68,56.8,48.2,11435.0,18.2,Media,75.7,70,85,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-13T00:12:33.247422+00:00,STOP2X_OBSERVED,1.35,-89.6,,,,2026-08-14T19:13:12.387647+00:00,117.62999725341797,0.9,-44.6,35
