mark_time_utc,signal_id,opportunity_key,ticker,side,expiration,short_strike,long_strike,underlying_price,close_debit_conservative,short_bid,short_ask,long_bid,long_ask,unrealized_pnl_net,dte,mark_status,mark_error
2026-08-13T00:12:33.247422+00:00,MSFT-20260813T0012-545C550C,MSFT|2026-09-18|CALL|545|550,MSFT,CALL,2026-09-18,545.0,550.0,492.42999267578125,0.58,2.27,2.4,1.82,1.96,-29.6,36,MARKED,
2026-08-13T00:12:33.247422+00:00,CSCO-20260813T0012-145C150C,CSCO|2026-09-18|CALL|145|150,CSCO,CALL,2026-09-18,145.0,150.0,123.87999725341797,0.8,1.54,1.88,1.08,1.13,-41.6,36,MARKED,
2026-08-13T00:12:33.247422+00:00,JPM-20260813T0012-385C390C,JPM|2026-09-18|CALL|385|390,JPM,CALL,2026-09-18,385.0,390.0,365.17999267578125,1.3,2.46,2.85,1.55,2.14,-100.6,36,MARKED,
2026-08-13T00:12:33.247422+00:00,SCHW-20260813T0012-115C120C,SCHW|2026-09-18|CALL|115|120,SCHW,CALL,2026-09-18,115.0,120.0,109.33999633789062,0.75,0.97,1.06,0.31,0.42,-22.6,36,MARKED,
2026-08-13T00:12:33.247422+00:00,BAC-20260813T0012-67.5C70C,BAC|2026-09-18|CALL|67.5|70,BAC,CALL,2026-09-18,67.5,70.0,64.80999755859375,0.41,0.51,0.55,0.14,0.18,-10.6,36,MARKED,
2026-08-13T00:12:33.247422+00:00,XOM-20260813T0012-170C175C,XOM|2026-09-18|CALL|170|175,XOM,CALL,2026-09-18,170.0,175.0,159.75,1.13,1.81,1.96,0.83,1.31,-65.6,36,MARKED,
2026-08-13T00:12:33.247422+00:00,MRK-20260813T0012-145C150C,MRK|2026-09-18|CALL|145|150,MRK,CALL,2026-09-18,145.0,150.0,132.9199981689453,0.5,0.78,0.84,0.34,0.39,-13.6,36,MARKED,
2026-08-13T00:12:33.247422+00:00,NKE-20260813T0012-37.5P35P,NKE|2026-09-18|PUT|37.5|35,NKE,PUT,2026-09-18,37.5,35.0,40.5099983215332,0.45,0.6,0.64,0.19,0.22,-9.6,36,MARKED,
2026-08-13T00:12:33.247422+00:00,ABNB-20260813T0012-195C200C,ABNB|2026-09-18|CALL|195|200,ABNB,CALL,2026-09-18,195.0,200.0,180.09500122070312,1.42,1.93,2.47,1.05,1.48,-99.6,36,MARKED,
2026-08-13T00:12:33.247422+00:00,NEM-20260813T0012-130C135C,NEM|2026-09-18|CALL|130|135,NEM,CALL,2026-09-18,130.0,135.0,117.83999633789062,1.35,2.5,3.0,1.65,2.02,-89.6,36,MARKED,
2026-08-13T00:12:33.247422+00:00,SPY-20260813T0012-808C813C,SPY|2026-09-18|CALL|808|813,SPY,CALL,2026-09-18,808.0,813.0,772.489990234375,0.55,1.64,1.67,1.12,1.14,-7.6,36,MARKED,
2026-08-13T00:12:33.247422+00:00,XLE-20260813T0012-65C67.5C,XLE|2026-09-18|CALL|65|67.5,XLE,CALL,2026-09-18,65.0,67.5,61.029998779296875,0.41,0.59,0.68,0.27,0.31,-15.6,36,MARKED,
2026-08-13T00:12:33.247422+00:00,TLT-20260813T0012-80P77P,TLT|2026-09-18|PUT|80|77,TLT,PUT,2026-09-18,80.0,77.0,82.11000061035156,0.34,0.43,0.44,0.1,0.11,-4.6,36,MARKED,
2026-08-13T00:12:33.247422+00:00,GLD-20260813T0012-440C445C,GLD|2026-09-18|CALL|440|445,GLD,CALL,2026-09-18,440.0,445.0,404.9200134277344,0.71,2.81,2.99,2.28,2.42,-34.6,36,MARKED,
